               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.046349,            0.056794,             0.01631,             0.64977,             0.59844,             0.63644,             0.35993,            0.043189,            0.056768,            0.013595,           0.0030526,           0.0030526,           0.0030526
                  37,            0.046609,             0.05617,            0.016232,             0.53117,             0.67499,             0.64226,             0.33677,            0.045193,            0.057544,            0.013419,           0.0030442,           0.0030442,           0.0030442
                  38,            0.046804,            0.055087,            0.015907,             0.56572,             0.66531,             0.62981,             0.34917,            0.043784,             0.05688,            0.013497,           0.0030356,           0.0030356,           0.0030356
                  39,             0.04659,            0.055041,            0.016075,              0.6718,             0.57422,             0.61559,             0.34535,            0.043163,            0.057529,            0.015364,           0.0030268,           0.0030268,           0.0030268
                  40,            0.046093,            0.056053,            0.015951,              0.5727,             0.67756,             0.63061,             0.35535,            0.043314,            0.057014,            0.013354,           0.0030178,           0.0030178,           0.0030178
                  41,            0.046323,            0.055018,             0.01567,             0.67602,             0.59295,             0.63864,             0.35718,            0.043358,            0.056233,              0.0129,           0.0030085,           0.0030085,           0.0030085
                  42,              0.0467,            0.055918,            0.015411,             0.58024,             0.62285,             0.62375,             0.35497,            0.043045,            0.057735,             0.01333,           0.0029991,           0.0029991,           0.0029991
                  43,            0.046076,            0.055369,            0.015619,             0.66719,             0.60362,              0.6374,             0.36426,            0.042262,             0.05682,            0.013577,           0.0029894,           0.0029894,           0.0029894
                  44,            0.046105,            0.055542,            0.015041,             0.59227,             0.65221,             0.65799,             0.36246,            0.043539,             0.05735,            0.013047,           0.0029795,           0.0029795,           0.0029795
                  45,            0.046435,            0.054912,            0.015418,             0.65731,             0.57271,             0.63157,             0.34616,            0.043214,            0.056214,            0.013238,           0.0029694,           0.0029694,           0.0029694
                  46,            0.045568,            0.056058,            0.015134,             0.73819,             0.55163,             0.61914,             0.34027,            0.044456,            0.056284,            0.012822,           0.0029591,           0.0029591,           0.0029591
                  47,            0.046265,            0.055674,            0.015285,             0.65658,              0.6297,             0.64325,             0.36783,            0.042367,            0.056411,             0.01278,           0.0029486,           0.0029486,           0.0029486
                  48,            0.045734,            0.053925,            0.014719,             0.62926,             0.57156,             0.60992,             0.33808,            0.044001,            0.057253,            0.012719,           0.0029379,           0.0029379,           0.0029379
                  49,            0.045279,             0.05537,            0.014772,             0.57638,              0.5961,             0.64184,             0.36324,            0.042493,            0.056935,            0.012531,            0.002927,            0.002927,            0.002927
                  50,            0.045271,            0.055872,            0.014947,             0.66735,             0.59705,             0.64259,             0.36516,            0.042592,            0.057117,            0.012589,           0.0029159,           0.0029159,           0.0029159
                  51,            0.045735,            0.054734,            0.014737,             0.69357,             0.57019,             0.62015,             0.36656,            0.041778,            0.057537,            0.013055,           0.0029046,           0.0029046,           0.0029046
                  52,            0.045238,            0.054908,            0.014669,             0.69113,             0.60621,             0.65101,             0.37382,              0.0423,            0.057179,            0.012057,           0.0028931,           0.0028931,           0.0028931
