               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02954,            0.041818,            0.010754,             0.74601,             0.65077,             0.70925,             0.42954,            0.028292,            0.036247,            0.010428,           0.0082675,           0.0082675,           0.0082675
                  37,              0.0296,            0.042042,            0.011027,             0.69826,             0.66517,             0.70651,             0.42906,            0.027676,            0.036185,             0.01061,            0.008218,            0.008218,            0.008218
                  38,            0.029219,            0.041554,           0.0098719,             0.63734,             0.73691,             0.72753,             0.43695,            0.027826,            0.035701,            0.010397,           0.0081685,           0.0081685,           0.0081685
                  39,            0.028769,            0.042067,            0.010228,             0.70772,             0.68271,             0.71054,             0.43306,            0.027858,            0.035898,            0.010597,            0.008119,            0.008119,            0.008119
                  40,            0.029537,            0.042698,            0.010866,             0.70386,             0.46591,             0.50409,             0.29858,            0.039045,            0.047894,            0.020523,           0.0080695,           0.0080695,           0.0080695
                  41,            0.029467,            0.042921,              0.0118,             0.66665,             0.67711,             0.69513,             0.41778,            0.029121,            0.036818,            0.011321,             0.00802,             0.00802,             0.00802
                  42,            0.029694,             0.04278,            0.011398,             0.68281,             0.65419,             0.69647,             0.41929,            0.027702,            0.036959,            0.011548,           0.0079705,           0.0079705,           0.0079705
                  43,            0.029781,            0.043303,            0.010783,             0.67505,             0.68422,             0.70113,             0.42288,            0.027477,            0.036105,            0.011288,            0.007921,            0.007921,            0.007921
                  44,            0.029701,            0.042088,             0.01059,             0.66694,             0.67115,             0.68813,             0.41239,            0.028882,              0.0362,            0.011808,           0.0078715,           0.0078715,           0.0078715
                  45,            0.029427,            0.042524,             0.01136,              0.6035,             0.36059,             0.36253,             0.19803,            0.052352,            0.053583,            0.034665,            0.007822,            0.007822,            0.007822
                  46,            0.029436,            0.043251,            0.012073,             0.60731,             0.61948,             0.62133,             0.37341,            0.029569,            0.040938,            0.014574,           0.0077725,           0.0077725,           0.0077725
                  47,            0.029119,            0.043935,            0.011963,             0.54596,              0.4917,             0.49601,             0.29085,            0.037578,            0.052133,            0.023335,            0.007723,            0.007723,            0.007723
                  48,            0.029112,            0.042847,            0.011032,             0.65834,             0.71909,             0.70833,             0.43054,            0.027459,            0.035634,            0.011045,           0.0076735,           0.0076735,           0.0076735
                  49,            0.028204,            0.042268,           0.0096089,             0.70828,             0.67655,              0.7132,             0.43812,            0.027243,            0.035376,            0.010194,            0.007624,            0.007624,            0.007624
                  50,            0.029123,            0.041194,           0.0093682,             0.71242,              0.6908,             0.71507,             0.43875,              0.0277,            0.035798,            0.010226,           0.0075745,           0.0075745,           0.0075745
                  51,            0.028125,            0.040246,           0.0087678,             0.72031,             0.69764,              0.7232,             0.44037,             0.02678,            0.035799,           0.0095582,            0.007525,            0.007525,            0.007525
                  52,            0.027503,            0.040374,           0.0094889,             0.71779,             0.69765,             0.72057,             0.44488,            0.027388,            0.035433,           0.0097635,           0.0074755,           0.0074755,           0.0074755
                  53,            0.029734,            0.040837,           0.0090021,             0.66848,              0.6712,             0.68542,             0.41307,            0.028619,            0.036603,             0.01102,            0.007426,            0.007426,            0.007426
                  54,             0.02846,            0.041263,           0.0083799,             0.68472,             0.70874,             0.72378,             0.44238,            0.027308,            0.035596,            0.010498,           0.0073765,           0.0073765,           0.0073765
                  55,            0.027997,            0.040121,           0.0091904,             0.72731,             0.67431,             0.72268,             0.44324,            0.027874,            0.035621,            0.010025,            0.007327,            0.007327,            0.007327
                  56,            0.027634,            0.039611,           0.0092194,             0.73333,              0.6848,             0.71006,              0.4356,            0.027078,            0.036674,            0.010756,           0.0072775,           0.0072775,           0.0072775
                  57,            0.027766,            0.040605,           0.0096513,             0.72791,             0.67366,             0.71198,              0.4356,            0.026921,            0.035703,           0.0099786,            0.007228,            0.007228,            0.007228
                  58,            0.027219,            0.039296,           0.0081169,             0.71924,             0.69581,              0.7211,             0.44102,            0.027984,            0.035865,           0.0096761,           0.0071785,           0.0071785,           0.0071785
                  59,            0.028065,            0.040127,           0.0085094,             0.68842,             0.70447,             0.71526,             0.43721,            0.027248,             0.03645,            0.010472,            0.007129,            0.007129,            0.007129
                  60,            0.027239,            0.039608,           0.0077259,             0.71642,             0.70287,             0.73059,             0.44813,             0.02608,            0.035505,           0.0098581,           0.0070795,           0.0070795,           0.0070795
                  61,             0.02676,             0.03869,           0.0076405,             0.70621,             0.69424,             0.71882,             0.44135,            0.026646,            0.035741,           0.0095229,             0.00703,             0.00703,             0.00703
                  62,            0.026821,            0.039678,           0.0072125,             0.72404,             0.69019,             0.72393,             0.44739,            0.026991,            0.036059,           0.0099029,           0.0069805,           0.0069805,           0.0069805
                  63,            0.026107,            0.038547,           0.0082472,             0.72003,             0.68574,              0.7071,             0.43506,             0.02718,            0.037065,            0.010945,            0.006931,            0.006931,            0.006931
                  64,            0.026795,            0.039087,           0.0078255,             0.72776,              0.6606,             0.69756,             0.43072,            0.026448,            0.036912,            0.011395,           0.0068815,           0.0068815,           0.0068815
                  65,            0.026834,            0.038776,            0.008269,             0.73158,             0.69782,             0.73002,             0.45401,            0.026145,            0.035746,            0.009533,            0.006832,            0.006832,            0.006832
                  66,            0.027157,            0.038627,           0.0075859,             0.72298,              0.6926,             0.73094,             0.45465,            0.025953,            0.035693,           0.0097541,           0.0067825,           0.0067825,           0.0067825
                  67,            0.026184,            0.038697,           0.0069316,             0.70918,             0.72975,             0.73366,             0.45472,            0.026083,            0.035911,            0.010215,            0.006733,            0.006733,            0.006733
                  68,            0.026909,            0.038557,           0.0077027,             0.70831,             0.70249,             0.72118,             0.44566,            0.026978,            0.035961,            0.010627,           0.0066835,           0.0066835,           0.0066835
                  69,             0.02567,            0.038349,            0.007667,             0.73819,              0.6827,              0.7221,             0.44645,            0.025659,            0.036392,            0.010263,            0.006634,            0.006634,            0.006634
                  70,            0.025331,            0.037725,           0.0068172,             0.72249,             0.68727,             0.72425,             0.45045,            0.026903,            0.036164,           0.0099734,           0.0065845,           0.0065845,           0.0065845
                  71,            0.026374,            0.037529,           0.0070361,             0.70189,              0.7155,             0.72227,             0.44788,            0.026446,            0.036077,           0.0099291,            0.006535,            0.006535,            0.006535
                  72,            0.025351,             0.03769,           0.0065952,             0.72192,             0.69716,             0.72475,              0.4488,            0.026531,            0.036523,           0.0099536,           0.0064855,           0.0064855,           0.0064855
                  73,            0.025814,            0.036727,           0.0059486,             0.73117,             0.69725,             0.73351,             0.45632,            0.027779,            0.035979,           0.0091627,            0.006436,            0.006436,            0.006436
                  74,            0.024869,             0.03736,           0.0063696,             0.72783,             0.69702,             0.73219,             0.45666,            0.025775,            0.036497,           0.0095453,           0.0063865,           0.0063865,           0.0063865
                  75,            0.025062,            0.037427,           0.0059787,             0.74764,             0.69421,             0.72977,             0.45525,            0.025979,             0.03685,           0.0093205,            0.006337,            0.006337,            0.006337
                  76,            0.025053,            0.036213,           0.0065455,             0.72259,             0.68871,             0.71467,             0.44542,            0.026538,            0.036984,            0.010645,           0.0062875,           0.0062875,           0.0062875
                  77,            0.024465,            0.036316,           0.0060088,             0.72685,             0.68867,             0.72411,             0.44909,             0.02574,            0.037028,             0.01048,            0.006238,            0.006238,            0.006238
                  78,            0.024692,            0.036382,           0.0057241,             0.70934,             0.71241,              0.7321,             0.45341,            0.026816,            0.036574,           0.0092846,           0.0061885,           0.0061885,           0.0061885
                  79,            0.024083,            0.035729,           0.0054527,             0.71347,             0.70851,             0.72797,             0.45067,            0.025458,            0.036806,            0.009067,            0.006139,            0.006139,            0.006139
                  80,            0.025067,            0.035343,           0.0059671,             0.73285,              0.6942,             0.72509,             0.44919,            0.025853,            0.037064,           0.0096967,           0.0060895,           0.0060895,           0.0060895
                  81,            0.023974,            0.036086,           0.0055691,             0.73687,             0.69766,             0.73316,             0.45326,            0.025735,             0.03682,           0.0089007,             0.00604,             0.00604,             0.00604
                  82,            0.024059,             0.03583,           0.0054997,             0.72679,             0.71828,             0.74166,             0.46049,            0.025596,             0.03656,           0.0091202,           0.0059905,           0.0059905,           0.0059905
                  83,            0.024401,             0.03646,           0.0057524,             0.74918,             0.69316,              0.7323,              0.4552,            0.025433,            0.036891,           0.0090291,            0.005941,            0.005941,            0.005941
                  84,            0.024173,            0.035476,           0.0051618,             0.70769,             0.70932,             0.72472,             0.44695,            0.025915,            0.037075,            0.010414,           0.0058915,           0.0058915,           0.0058915
                  85,            0.023885,            0.036302,           0.0063094,             0.73993,             0.68763,             0.72264,             0.45091,            0.025893,            0.037183,           0.0094245,            0.005842,            0.005842,            0.005842
                  86,            0.023879,            0.035279,           0.0056116,             0.70598,             0.70448,             0.72653,             0.45122,            0.025496,            0.037161,           0.0093932,           0.0057925,           0.0057925,           0.0057925
                  87,            0.023511,             0.03527,            0.005496,             0.72815,             0.69372,             0.73196,              0.4517,            0.025661,            0.037573,           0.0094265,            0.005743,            0.005743,            0.005743
                  88,             0.02377,            0.034953,           0.0063843,             0.71238,             0.68184,             0.71058,             0.43675,            0.025926,            0.037586,            0.011878,           0.0056935,           0.0056935,           0.0056935
                  89,            0.023922,            0.034627,           0.0074689,             0.73207,             0.68651,             0.72728,              0.4483,            0.026158,            0.037674,           0.0098274,            0.005644,            0.005644,            0.005644
                  90,            0.023616,            0.034563,           0.0062193,              0.7237,             0.68768,             0.72174,             0.44672,            0.025931,            0.037796,            0.009586,           0.0055945,           0.0055945,           0.0055945
                  91,            0.023428,            0.035707,           0.0057264,             0.71487,             0.70055,             0.72384,             0.44712,            0.025631,            0.037477,           0.0087707,            0.005545,            0.005545,            0.005545
                  92,            0.023519,            0.034546,           0.0054647,             0.74096,             0.69745,             0.72721,             0.45218,            0.026094,            0.038276,           0.0093204,           0.0054955,           0.0054955,           0.0054955
                  93,            0.023382,            0.035681,           0.0056638,               0.742,              0.6777,             0.72396,             0.44976,              0.0255,            0.037745,           0.0095351,            0.005446,            0.005446,            0.005446
                  94,            0.022985,            0.034997,            0.005439,             0.70238,             0.70818,             0.72495,             0.45096,            0.025347,            0.037986,            0.009536,           0.0053965,           0.0053965,           0.0053965
                  95,            0.022935,            0.034713,           0.0053511,              0.7224,             0.70275,             0.71537,             0.44539,            0.025545,            0.038743,           0.0092982,            0.005347,            0.005347,            0.005347
                  96,            0.022501,            0.033393,           0.0052869,             0.71489,             0.69859,             0.71577,              0.4455,            0.025641,            0.038597,           0.0097402,           0.0052975,           0.0052975,           0.0052975
                  97,            0.023484,             0.03448,           0.0051362,             0.72606,             0.70358,             0.73119,             0.45411,            0.025621,             0.03786,           0.0088905,            0.005248,            0.005248,            0.005248
                  98,            0.022608,            0.034242,            0.004695,             0.73396,             0.68692,             0.72281,              0.4513,            0.025942,            0.038165,           0.0092339,           0.0051985,           0.0051985,           0.0051985
                  99,            0.023736,            0.034283,           0.0043835,             0.71782,             0.70975,             0.72771,              0.4521,            0.025824,            0.038267,           0.0091401,            0.005149,            0.005149,            0.005149
                 100,            0.022786,            0.033727,            0.004686,             0.74358,              0.6895,             0.73093,             0.45815,            0.025889,            0.038194,           0.0089789,           0.0050995,           0.0050995,           0.0050995
                 101,             0.02333,             0.03389,           0.0055546,             0.74342,             0.68781,             0.72403,             0.44936,            0.025907,            0.038088,           0.0095136,             0.00505,             0.00505,             0.00505
                 102,            0.022907,            0.034206,           0.0048532,             0.71632,             0.70478,             0.72096,             0.44622,            0.025707,            0.039074,           0.0092974,           0.0050005,           0.0050005,           0.0050005
                 103,            0.022399,            0.032999,           0.0043935,             0.74971,             0.69252,             0.71605,             0.44627,             0.02583,            0.039274,           0.0096327,            0.004951,            0.004951,            0.004951
                 104,            0.022267,             0.03286,           0.0042022,             0.75395,             0.65957,             0.71347,              0.4417,            0.025081,            0.039254,           0.0095135,           0.0049015,           0.0049015,           0.0049015
                 105,            0.022017,             0.03282,           0.0043528,             0.73246,             0.69436,             0.73001,             0.45459,             0.02536,            0.039006,           0.0090501,            0.004852,            0.004852,            0.004852
                 106,            0.021966,            0.032828,            0.005002,             0.73102,             0.68496,             0.71447,             0.44525,            0.025677,            0.039366,           0.0092904,           0.0048025,           0.0048025,           0.0048025
                 107,            0.021994,            0.032664,           0.0045118,             0.75667,             0.67654,             0.72535,              0.4512,             0.02556,            0.039266,            0.009407,            0.004753,            0.004753,            0.004753
                 108,            0.021414,            0.033087,           0.0041605,             0.73241,             0.68934,              0.7217,             0.44972,             0.02536,            0.039753,           0.0090102,           0.0047035,           0.0047035,           0.0047035
                 109,            0.021498,            0.032382,           0.0043063,             0.71461,             0.69675,              0.7164,             0.44429,            0.025024,             0.03936,           0.0093969,            0.004654,            0.004654,            0.004654
                 110,            0.021016,            0.031344,            0.004009,             0.74173,             0.69657,              0.7245,             0.45145,             0.02556,            0.039234,           0.0090465,           0.0046045,           0.0046045,           0.0046045
                 111,            0.021343,            0.032145,           0.0038377,             0.73363,             0.68962,             0.72363,             0.45225,            0.025192,            0.039844,           0.0089869,            0.004555,            0.004555,            0.004555
                 112,            0.021329,             0.03224,           0.0040199,              0.7347,             0.68294,             0.72159,             0.44837,            0.025463,            0.039976,           0.0099774,           0.0045055,           0.0045055,           0.0045055
                 113,            0.021633,            0.031969,           0.0044225,             0.75801,             0.66875,             0.71896,              0.4479,            0.025355,            0.039985,           0.0096437,            0.004456,            0.004456,            0.004456
                 114,            0.020975,            0.032006,           0.0035589,             0.72219,             0.70774,             0.71873,              0.4469,            0.025356,            0.040262,           0.0097917,           0.0044065,           0.0044065,           0.0044065
                 115,            0.021608,             0.03114,           0.0041997,             0.75452,             0.67958,             0.72489,             0.44967,             0.02521,            0.039763,           0.0093167,            0.004357,            0.004357,            0.004357
                 116,            0.021435,            0.031045,           0.0039972,             0.74544,             0.67077,             0.72492,             0.44989,            0.025691,            0.040147,           0.0093978,           0.0043075,           0.0043075,           0.0043075
                 117,            0.020329,            0.031268,           0.0035867,             0.72572,             0.69384,             0.71922,             0.44803,            0.025174,             0.04044,           0.0094176,            0.004258,            0.004258,            0.004258
                 118,            0.020843,            0.031002,           0.0036511,             0.72507,             0.70234,             0.72147,             0.44935,            0.025425,             0.04053,           0.0089859,           0.0042085,           0.0042085,           0.0042085
                 119,            0.020641,            0.030373,            0.003571,              0.7388,             0.67585,             0.72073,             0.44843,            0.025463,            0.041173,           0.0090859,            0.004159,            0.004159,            0.004159
                 120,            0.020518,            0.030593,           0.0036379,             0.71723,             0.69954,             0.71649,             0.44537,            0.025512,            0.040942,           0.0095241,           0.0041095,           0.0041095,           0.0041095
                 121,            0.020719,            0.030464,           0.0034673,             0.74318,             0.67899,             0.72076,             0.44935,            0.025328,            0.041521,           0.0093167,             0.00406,             0.00406,             0.00406
