               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095572,            0.056739,             0.05678,             0.27665,             0.12714,            0.049936,              0.0154,            0.083804,            0.048445,            0.047495,            0.003303,            0.003303,            0.070273
                   1,             0.06937,             0.05233,            0.046062,             0.30618,             0.23742,             0.07712,            0.025242,            0.063315,            0.043033,            0.041608,           0.0065926,           0.0065926,            0.040229
                   2,              0.0654,            0.051252,            0.043009,             0.42231,             0.24563,             0.10695,            0.043068,            0.058291,            0.043043,            0.039332,           0.0098381,           0.0098381,            0.010141
                   3,            0.058483,            0.051962,            0.040525,             0.47171,             0.34739,             0.21455,            0.092473,            0.046186,            0.041784,            0.037018,            0.009802,            0.009802,            0.009802
                   4,             0.04863,            0.051766,            0.036563,             0.58194,             0.34923,             0.27517,             0.12487,            0.041337,            0.040779,            0.032952,            0.009802,            0.009802,            0.009802
                   5,            0.045198,            0.050075,            0.033859,             0.60296,             0.34819,             0.31299,              0.1483,            0.042566,            0.040299,            0.029992,            0.009736,            0.009736,            0.009736
                   6,            0.043341,            0.050171,            0.032028,             0.63333,             0.36031,             0.34874,             0.14758,            0.041307,            0.039969,            0.027857,             0.00967,             0.00967,             0.00967
                   7,            0.042924,            0.049927,            0.028661,             0.70125,             0.36925,             0.39422,             0.19399,            0.037394,            0.039275,            0.025737,            0.009604,            0.009604,            0.009604
                   8,            0.042489,            0.049471,            0.027888,             0.73267,             0.36941,             0.41562,             0.20809,            0.042632,            0.040094,            0.024996,            0.009538,            0.009538,            0.009538
                   9,            0.041035,            0.049652,            0.025529,             0.77885,              0.3906,             0.44116,             0.22292,            0.037612,             0.03928,             0.02227,            0.009472,            0.009472,            0.009472
                  10,            0.041287,            0.050421,            0.023071,              0.7726,             0.39482,              0.4424,             0.22768,            0.038842,            0.039627,            0.021348,            0.009406,            0.009406,            0.009406
                  11,            0.039595,            0.049822,             0.02265,             0.79585,             0.40214,             0.47119,             0.24864,            0.036671,            0.039514,            0.020225,             0.00934,             0.00934,             0.00934
                  12,            0.038918,            0.049487,            0.021022,             0.80409,             0.41498,             0.47783,             0.24554,            0.034782,             0.03896,            0.019045,            0.009274,            0.009274,            0.009274
                  13,            0.038482,            0.048797,            0.021608,             0.80356,             0.43323,             0.49253,             0.25598,            0.037271,            0.038754,            0.018217,            0.009208,            0.009208,            0.009208
                  14,            0.038848,            0.048911,             0.02103,              0.8001,             0.43209,             0.50705,             0.27123,            0.034625,             0.03888,            0.017978,            0.009142,            0.009142,            0.009142
                  15,            0.036382,            0.047807,            0.021108,              0.7852,             0.42667,              0.4884,                0.26,            0.034611,            0.039181,            0.019759,            0.009076,            0.009076,            0.009076
                  16,            0.036793,            0.048294,            0.018921,             0.80629,               0.437,             0.51768,             0.28854,            0.032312,            0.038277,            0.017968,             0.00901,             0.00901,             0.00901
                  17,            0.036801,            0.047888,            0.017923,             0.78116,             0.47024,             0.54318,             0.30224,            0.032775,            0.037876,            0.017575,            0.008944,            0.008944,            0.008944
