               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.028054,            0.039513,           0.0083358,             0.71101,              0.6898,             0.72279,             0.43852,            0.027883,            0.035773,            0.011174,            0.008812,            0.008812,            0.008812
                  38,            0.028733,              0.0388,           0.0078706,             0.72507,             0.67968,             0.72776,             0.44534,            0.027486,            0.035852,           0.0098766,            0.008779,            0.008779,            0.008779
                  39,            0.029469,            0.039361,           0.0079784,              0.7117,             0.69027,             0.71437,             0.43207,            0.028796,            0.036042,            0.011494,            0.008746,            0.008746,            0.008746
                  40,            0.027969,            0.038867,           0.0079655,             0.71729,             0.69628,             0.71737,             0.43729,            0.027925,            0.036269,            0.010667,            0.008713,            0.008713,            0.008713
                  41,            0.029198,            0.039314,           0.0074164,             0.67759,             0.69882,             0.71075,             0.43096,            0.028426,            0.036308,            0.011592,             0.00868,             0.00868,             0.00868
                  42,            0.027678,            0.038285,           0.0078993,             0.69089,             0.69696,             0.71146,             0.43357,            0.027871,            0.036615,             0.01081,            0.008647,            0.008647,            0.008647
                  43,            0.027553,            0.038949,           0.0083728,             0.71448,             0.69706,             0.72187,             0.44135,            0.027487,             0.03586,             0.01125,            0.008614,            0.008614,            0.008614
                  44,            0.027834,            0.039007,           0.0078672,             0.72383,             0.67823,             0.72498,             0.44806,            0.027411,            0.036495,            0.010488,            0.008581,            0.008581,            0.008581
                  45,             0.02877,            0.038406,           0.0076879,             0.68898,             0.67415,             0.71499,              0.4232,            0.028892,             0.03686,            0.012265,            0.008548,            0.008548,            0.008548
                  46,            0.027961,             0.03869,           0.0095374,             0.68826,             0.68484,             0.71028,             0.43555,            0.027898,            0.037118,            0.012397,            0.008515,            0.008515,            0.008515
                  47,            0.027108,            0.038547,           0.0075911,             0.67496,             0.69639,              0.7086,             0.43302,            0.027986,            0.036354,            0.011608,            0.008482,            0.008482,            0.008482
                  48,            0.026942,            0.037274,           0.0076286,             0.69923,              0.6642,             0.70359,             0.43295,            0.027242,            0.038157,            0.011109,            0.008449,            0.008449,            0.008449
                  49,            0.028223,            0.037985,           0.0070006,             0.72217,             0.70226,             0.73345,             0.44766,            0.028518,            0.036096,            0.010562,            0.008416,            0.008416,            0.008416
                  50,            0.028231,            0.037714,           0.0074063,             0.71109,             0.68673,               0.721,             0.43691,            0.029225,            0.036822,             0.01109,            0.008383,            0.008383,            0.008383
                  51,            0.026824,            0.037117,           0.0062901,             0.71689,             0.69097,             0.72087,             0.43906,            0.026608,            0.036158,            0.010756,             0.00835,             0.00835,             0.00835
                  52,            0.026791,            0.037232,           0.0068143,             0.72847,             0.69771,              0.7227,             0.44249,            0.027054,              0.0363,            0.010936,            0.008317,            0.008317,            0.008317
                  53,            0.026394,            0.037417,           0.0079614,             0.71234,             0.70443,             0.72233,             0.43954,            0.027183,            0.036767,            0.010708,            0.008284,            0.008284,            0.008284
                  54,            0.027499,            0.037275,           0.0065067,             0.72632,             0.67482,             0.71384,             0.43847,            0.030399,            0.037057,            0.011412,            0.008251,            0.008251,            0.008251
                  55,            0.028206,            0.037527,           0.0067639,             0.70254,             0.70309,             0.71844,             0.43659,            0.027461,            0.036736,            0.011355,            0.008218,            0.008218,            0.008218
                  56,            0.026552,            0.037294,           0.0065229,             0.68513,             0.70105,             0.71533,              0.4375,             0.02723,            0.036718,             0.01068,            0.008185,            0.008185,            0.008185
                  57,            0.026929,            0.036296,           0.0063625,             0.74587,             0.67521,             0.73747,             0.45221,            0.027537,            0.036344,           0.0096134,            0.008152,            0.008152,            0.008152
                  58,            0.026525,            0.037295,           0.0060858,             0.70893,             0.71072,             0.73447,             0.45482,             0.02757,            0.036085,           0.0096239,            0.008119,            0.008119,            0.008119
                  59,            0.026968,            0.036501,           0.0059488,             0.76238,             0.66873,             0.73118,             0.45179,            0.026742,            0.036555,           0.0097115,            0.008086,            0.008086,            0.008086
                  60,            0.026177,            0.035755,           0.0058525,             0.72861,             0.69764,             0.72754,              0.4469,            0.027364,            0.037427,            0.010014,            0.008053,            0.008053,            0.008053
                  61,            0.026242,            0.036505,           0.0056355,             0.70886,             0.69598,             0.71415,             0.43915,            0.027644,             0.03763,            0.010322,             0.00802,             0.00802,             0.00802
                  62,            0.025464,            0.035286,           0.0055239,             0.72263,             0.67592,             0.71513,              0.4381,            0.026224,            0.037492,            0.010203,            0.007987,            0.007987,            0.007987
                  63,            0.025281,            0.035919,           0.0057216,             0.69313,             0.71253,             0.72738,             0.45016,            0.026972,            0.037796,            0.010062,            0.007954,            0.007954,            0.007954
                  64,             0.02546,            0.036003,            0.006528,             0.72028,             0.68529,             0.71458,             0.44274,            0.028387,            0.038355,            0.011636,            0.007921,            0.007921,            0.007921
                  65,            0.027466,            0.036578,           0.0063229,             0.68851,             0.68382,             0.69515,             0.42403,            0.029444,            0.038192,            0.012203,            0.007888,            0.007888,            0.007888
                  66,            0.026072,            0.036601,           0.0066932,             0.75158,             0.65629,             0.70061,             0.42708,            0.027322,            0.038068,            0.010903,            0.007855,            0.007855,            0.007855
                  67,             0.02561,            0.034727,           0.0055871,             0.75322,             0.64239,             0.70276,             0.43306,            0.027474,            0.038923,            0.010849,            0.007822,            0.007822,            0.007822
                  68,            0.027248,            0.035437,           0.0056836,             0.73335,             0.67982,             0.72194,             0.44154,            0.027216,            0.036811,            0.010756,            0.007789,            0.007789,            0.007789
                  69,            0.025462,              0.0347,            0.005876,             0.76403,             0.66609,             0.72199,             0.44143,            0.026687,            0.037043,            0.010117,            0.007756,            0.007756,            0.007756
                  70,             0.02576,            0.035697,           0.0054422,             0.69656,             0.70986,             0.72039,             0.44353,            0.028196,            0.037586,            0.010104,            0.007723,            0.007723,            0.007723
                  71,            0.025907,             0.03511,           0.0056583,             0.72703,             0.68442,             0.71856,             0.43949,            0.027016,            0.037403,            0.010392,             0.00769,             0.00769,             0.00769
                  72,            0.025336,            0.035064,            0.005413,              0.7104,             0.70597,             0.73085,              0.4512,            0.029206,            0.036732,           0.0099753,            0.007657,            0.007657,            0.007657
                  73,             0.02644,            0.035251,           0.0057861,             0.72208,             0.66703,             0.70304,             0.42929,            0.027069,            0.038688,            0.011618,            0.007624,            0.007624,            0.007624
                  74,            0.025347,            0.034333,           0.0052343,             0.69876,             0.70229,              0.7096,             0.43831,            0.029602,             0.03834,            0.010584,            0.007591,            0.007591,            0.007591
                  75,            0.024792,            0.034223,           0.0060312,             0.70473,             0.68907,              0.7151,             0.43371,            0.027199,            0.038535,            0.010675,            0.007558,            0.007558,            0.007558
                  76,            0.024631,            0.034165,            0.005434,             0.70122,             0.71626,             0.71274,             0.43682,            0.026824,            0.038453,            0.010851,            0.007525,            0.007525,            0.007525
                  77,            0.025239,            0.033658,           0.0052286,              0.6994,             0.69608,             0.71572,             0.44079,            0.026841,            0.038521,            0.010499,            0.007492,            0.007492,            0.007492
                  78,            0.024155,            0.034407,           0.0050461,             0.70511,             0.70962,             0.72166,             0.44706,              0.0257,            0.038237,           0.0098258,            0.007459,            0.007459,            0.007459
                  79,            0.024427,            0.034027,           0.0046439,             0.72516,              0.6868,             0.71745,             0.44031,            0.026663,            0.038419,           0.0095347,            0.007426,            0.007426,            0.007426
                  80,            0.023549,            0.033683,           0.0050628,              0.7243,             0.67756,              0.7203,             0.44368,            0.026066,            0.038861,            0.010045,            0.007393,            0.007393,            0.007393
                  81,            0.024387,            0.034143,            0.004541,             0.74468,             0.68497,             0.71972,             0.44413,            0.026554,             0.03844,           0.0092093,             0.00736,             0.00736,             0.00736
                  82,             0.02351,            0.033144,           0.0045562,             0.71582,             0.70409,             0.71282,              0.4396,            0.025945,            0.039149,           0.0098497,            0.007327,            0.007327,            0.007327
                  83,            0.023865,            0.033078,           0.0045681,             0.73203,             0.68203,             0.71032,             0.43575,            0.026288,            0.038456,           0.0099651,            0.007294,            0.007294,            0.007294
                  84,            0.025042,            0.032857,           0.0046269,             0.75419,             0.67531,             0.71728,             0.44319,            0.026167,            0.038785,           0.0098562,            0.007261,            0.007261,            0.007261
                  85,            0.024275,            0.033666,           0.0044886,             0.74339,             0.68937,             0.72459,             0.44885,            0.025747,            0.038421,           0.0096708,            0.007228,            0.007228,            0.007228
                  86,             0.02355,            0.032644,           0.0043511,             0.72852,              0.6888,             0.72378,             0.44405,            0.027531,             0.03987,            0.009617,            0.007195,            0.007195,            0.007195
                  87,             0.02327,            0.032618,           0.0045092,             0.72855,              0.6939,             0.72578,             0.44726,            0.025915,             0.03843,           0.0095899,            0.007162,            0.007162,            0.007162
                  88,            0.022908,             0.03314,           0.0044427,             0.74518,             0.68285,             0.71933,             0.44625,            0.025456,            0.038764,            0.010103,            0.007129,            0.007129,            0.007129
                  89,            0.024195,            0.033324,           0.0045964,             0.72573,             0.66695,             0.70155,             0.43531,            0.027617,            0.039476,            0.010114,            0.007096,            0.007096,            0.007096
                  90,            0.024064,            0.032341,           0.0047056,             0.73518,             0.68786,             0.70802,               0.437,            0.025651,            0.038751,            0.010807,            0.007063,            0.007063,            0.007063
                  91,            0.023223,            0.032464,           0.0045447,             0.77394,             0.68204,             0.73495,             0.45322,            0.026006,            0.038326,           0.0098996,             0.00703,             0.00703,             0.00703
                  92,            0.023578,            0.032116,            0.004144,             0.71104,             0.70411,             0.71469,             0.44067,             0.02568,            0.038637,             0.01004,            0.006997,            0.006997,            0.006997
                  93,            0.023183,             0.03143,            0.004387,             0.72697,             0.66023,             0.69933,             0.42692,            0.026014,            0.039312,            0.011058,            0.006964,            0.006964,            0.006964
