               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.029298,            0.058146,           0.0082046,             0.66945,             0.70554,             0.72024,             0.43094,             0.02853,            0.057815,            0.010294,            0.008812,            0.008812,            0.008812
                  38,            0.030124,            0.057621,           0.0085415,             0.71668,             0.68147,             0.71652,             0.42861,            0.029178,            0.057984,            0.010216,            0.008779,            0.008779,            0.008779
                  39,            0.029316,            0.060116,           0.0080809,             0.69776,             0.68657,             0.70554,             0.40271,            0.029153,            0.058403,            0.010908,            0.008746,            0.008746,            0.008746
                  40,            0.029303,            0.059419,           0.0084039,             0.71081,             0.65492,             0.70065,             0.40925,             0.02924,            0.058807,            0.010581,            0.008713,            0.008713,            0.008713
                  41,            0.029435,             0.05863,           0.0081012,             0.68073,             0.69368,             0.71382,             0.43292,             0.02866,            0.058598,            0.010098,             0.00868,             0.00868,             0.00868
                  42,            0.029066,            0.059606,           0.0079864,               0.664,               0.627,             0.65028,             0.38528,            0.030408,            0.064227,            0.012722,            0.008647,            0.008647,            0.008647
                  43,            0.028634,            0.058018,            0.008781,             0.69142,             0.64202,             0.68359,             0.39634,            0.029848,            0.060418,            0.010883,            0.008614,            0.008614,            0.008614
                  44,             0.02925,            0.057692,           0.0079801,             0.69977,             0.70447,             0.71834,             0.42316,            0.028685,            0.058424,            0.010611,            0.008581,            0.008581,            0.008581
                  45,            0.028527,            0.058795,           0.0076682,             0.68132,             0.67712,              0.6991,             0.41021,            0.028744,            0.058825,            0.010744,            0.008548,            0.008548,            0.008548
                  46,            0.028639,            0.058156,           0.0079254,               0.699,             0.68991,             0.71181,             0.42649,            0.028697,             0.05812,            0.010134,            0.008515,            0.008515,            0.008515
                  47,            0.028733,              0.0587,           0.0076264,             0.69974,             0.69933,             0.73059,             0.43926,            0.028355,            0.058348,           0.0095567,            0.008482,            0.008482,            0.008482
                  48,            0.028715,             0.05652,           0.0076104,             0.67474,             0.72091,             0.71646,             0.42468,            0.028715,            0.059454,            0.010346,            0.008449,            0.008449,            0.008449
                  49,             0.02848,            0.057516,           0.0080467,             0.68386,             0.70086,             0.71947,             0.42997,            0.028338,            0.058793,            0.010262,            0.008416,            0.008416,            0.008416
                  50,            0.028599,            0.058044,           0.0073671,             0.69143,             0.67002,             0.70204,             0.41831,            0.029236,            0.060095,             0.01056,            0.008383,            0.008383,            0.008383
                  51,            0.027805,             0.05829,            0.006946,             0.72151,              0.6931,             0.72841,             0.43945,            0.028117,            0.058897,           0.0099833,             0.00835,             0.00835,             0.00835
                  52,            0.028475,            0.057768,            0.007191,             0.67058,             0.69841,             0.71121,             0.42809,            0.028111,            0.058312,            0.010394,            0.008317,            0.008317,            0.008317
                  53,            0.027995,            0.057584,           0.0070201,             0.70559,             0.68345,             0.71699,             0.42812,            0.028242,            0.058931,            0.010323,            0.008284,            0.008284,            0.008284
