               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.029506,            0.059294,           0.0089474,             0.68746,             0.70836,             0.72167,             0.43087,            0.028819,            0.057681,            0.010041,            0.007624,            0.007624,            0.007624
                  38,            0.029118,            0.059289,           0.0089055,             0.69208,             0.69321,             0.71875,             0.41876,            0.028974,            0.057121,           0.0097957,            0.007558,            0.007558,            0.007558
                  39,            0.029099,            0.058513,           0.0084418,             0.72462,             0.65311,             0.71366,             0.42361,            0.028924,            0.057674,           0.0099607,            0.007492,            0.007492,            0.007492
                  40,             0.02868,            0.060177,           0.0087346,             0.70815,             0.69146,              0.7223,             0.43124,            0.028301,            0.058047,            0.010307,            0.007426,            0.007426,            0.007426
                  41,             0.02846,            0.058022,           0.0084766,             0.69694,             0.69973,             0.71943,             0.42672,            0.028419,            0.057851,            0.010355,             0.00736,             0.00736,             0.00736
                  42,            0.028744,            0.058733,           0.0080425,             0.69865,             0.71768,             0.72868,             0.43942,            0.028209,            0.058489,           0.0092519,            0.007294,            0.007294,            0.007294
                  43,            0.028885,            0.057974,           0.0080668,             0.72669,             0.67929,             0.71869,             0.42982,            0.028513,            0.057764,            0.009461,            0.007228,            0.007228,            0.007228
                  44,            0.028461,             0.05949,           0.0081347,             0.75944,              0.6588,              0.7286,             0.43922,            0.028136,            0.057675,           0.0097077,            0.007162,            0.007162,            0.007162
                  45,             0.02813,            0.057507,           0.0080007,             0.70118,             0.70557,             0.72525,             0.43147,             0.02829,            0.057819,           0.0097658,            0.007096,            0.007096,            0.007096
                  46,            0.028303,            0.057242,           0.0077648,             0.69994,             0.69459,             0.72552,             0.43724,            0.028311,             0.05788,           0.0099656,             0.00703,             0.00703,             0.00703
                  47,            0.027958,            0.057256,           0.0076173,             0.69724,             0.69596,             0.72779,             0.43781,            0.027832,            0.058129,           0.0095224,            0.006964,            0.006964,            0.006964
                  48,            0.027964,              0.0572,            0.007553,              0.7267,             0.67556,             0.72433,             0.43915,            0.028073,            0.057838,            0.009489,            0.006898,            0.006898,            0.006898
                  49,            0.028068,            0.057806,           0.0078126,             0.73803,              0.6938,             0.73429,              0.4424,            0.028111,            0.057715,           0.0094797,            0.006832,            0.006832,            0.006832
                  50,            0.028227,            0.057251,           0.0074204,             0.75273,             0.68512,             0.73952,             0.44456,            0.028355,            0.057653,           0.0091762,            0.006766,            0.006766,            0.006766
                  51,            0.027823,            0.057743,           0.0072031,             0.72587,              0.7036,             0.73854,             0.44321,            0.028125,            0.057822,           0.0092823,              0.0067,              0.0067,              0.0067
                  52,             0.02735,            0.058148,           0.0073976,              0.7349,             0.70829,             0.74462,             0.44825,            0.027954,            0.058088,           0.0091132,            0.006634,            0.006634,            0.006634
                  53,            0.027856,            0.056524,            0.006876,             0.71536,             0.70099,             0.73147,             0.44688,            0.027887,            0.057894,           0.0095585,            0.006568,            0.006568,            0.006568
                  54,            0.027181,            0.058136,           0.0070267,             0.71846,             0.69706,             0.73807,             0.44542,            0.028113,            0.057353,           0.0089938,            0.006502,            0.006502,            0.006502
                  55,            0.027194,            0.057313,           0.0068134,             0.70291,             0.71012,             0.73988,             0.45109,             0.02771,            0.057639,           0.0094672,            0.006436,            0.006436,            0.006436
                  56,            0.027575,            0.056698,           0.0069692,             0.71339,             0.68703,             0.72599,             0.43769,            0.028345,            0.058017,           0.0092178,             0.00637,             0.00637,             0.00637
                  57,            0.026713,            0.057458,           0.0064792,             0.72704,             0.67844,             0.73037,             0.44239,            0.027891,            0.058057,           0.0097179,            0.006304,            0.006304,            0.006304
                  58,            0.027185,            0.056044,           0.0068856,             0.72791,             0.72439,             0.74969,             0.45245,            0.027746,             0.05771,           0.0087867,            0.006238,            0.006238,            0.006238
                  59,            0.026997,            0.056959,           0.0067548,             0.71634,             0.70292,             0.73328,             0.44152,            0.027771,            0.057561,           0.0099078,            0.006172,            0.006172,            0.006172
                  60,            0.026885,            0.056018,           0.0070376,             0.70819,             0.70583,             0.73225,             0.44662,            0.027967,            0.057891,           0.0089538,            0.006106,            0.006106,            0.006106
                  61,            0.026579,            0.056259,           0.0062548,             0.73813,             0.68786,             0.73693,              0.4519,            0.027645,            0.058502,           0.0090634,             0.00604,             0.00604,             0.00604
                  62,            0.026476,            0.055383,           0.0065893,             0.72433,             0.72185,             0.73918,             0.45066,            0.027756,            0.058123,           0.0092179,            0.005974,            0.005974,            0.005974
                  63,            0.026583,            0.055739,           0.0064849,             0.71547,             0.70859,             0.73111,             0.44556,            0.027539,            0.058723,           0.0092994,            0.005908,            0.005908,            0.005908
                  64,            0.026887,            0.055783,           0.0065894,             0.72846,             0.71664,             0.74487,             0.45235,             0.02766,            0.058689,            0.008735,            0.005842,            0.005842,            0.005842
                  65,             0.02602,             0.05432,           0.0061949,             0.72409,             0.69711,             0.73988,             0.44813,            0.027698,            0.058738,           0.0087194,            0.005776,            0.005776,            0.005776
